month,date,inquiry_index,unadjusted_inquiry_index
222,2018-07,234.68832,242.0722
223,2018-08,239.32769,248.91846
224,2018-09,246.347,232.36221
225,2018-10,245.34374,244.12455
226,2018-11,236.1898,253.38972
227,2018-12,241.81829,247.99061
228,2019-01,244.03706,237.98851
229,2019-02,242.3168,211.99145
230,2019-03,241.91483,244.78321
231,2019-04,240.81995,240.43605
232,2019-05,247.91053,251.13691
233,2019-06,243.03394,242.26694
234,2019-07,239.76397,251.97503
235,2019-08,243.31243,248.6359
236,2019-09,238.84136,227.99595
237,2019-10,241.53112,240.44369
238,2019-11,246.58311,264.27003
239,2019-12,252.3625,263.70874
240,2020-01,249.71588,239.53493
241,2020-02,249.92483,221.36925
242,2020-03,193.80744,198.45358
243,2020-04,148.64571,148.16434
244,2020-05,148.18847,146.15017
245,2020-06,147.5091,150.00859
246,2020-07,149.0384,158.48909
247,2020-08,168.82545,175.58945
248,2020-09,182.4305,172.52525
249,2020-10,211.50421,211.5848
250,2020-11,211.44102,230.57714
251,2020-12,178.27975,191.56532
252,2021-01,219.46981,203.67514
253,2021-02,231.78408,201.90153
254,2021-03,250.265,258.30199
255,2021-04,256.9552,253.39544
256,2021-05,248.10777,246.82029
257,2021-06,254.89187,258.08626
258,2021-07,257.60294,268.36518
259,2021-08,260.6247,268.51601
260,2021-09,264.92688,255.52034
261,2021-10,269.21266,265.42889
262,2021-11,284.51077,309.23462
263,2021-12,266.18538,275.9732
264,2022-01,258.50304,243.10124
265,2022-02,266.35813,235.30613
266,2022-03,270.29222,279.58342
267,2022-04,277.59298,272.73144
268,2022-05,283.53033,282.88245
269,2022-06,288.43626,292.0407
270,2022-07,306.20739,313.96743
271,2022-08,293.00009,305.06692
272,2022-09,285.41691,274.01249
273,2022-10,284.5307,281.7885
274,2022-11,282.10321,308.40031
275,2022-12,281.36793,290.48092
276,2023-01,288.26489,273.24309
277,2023-02,284.66497,251.88721
278,2023-03,283.88333,289.40033
279,2023-04,280.75802,272.52716
280,2023-05,286.45979,291.4183200000001
281,2023-06,285.5487,286.38004
282,2023-07,301.01095,311.98763
