month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
96,2008-01,-.2844987293114893,-.1807672399444711,-.1713013711177125,-.0933149309233383,-.0243061807721758
97,2008-02,-.3362448876579002,-.1884355372297074,-.1404426107844981,-.1022426724674529,-.1804252674525414
98,2008-03,-.3520564349257875,-.281399782408723,-.2192258864445374,-.1148091662681024,-.039598972042984
99,2008-04,-.3654772476727097,-.2984022914170751,-.2384939679291722,-.1104336797274719,-.0072530622329511
100,2008-05,-.4015708704233296,-.3564284467272431,-.2707103947330219,-.1188711983874807,.0369449462825189
101,2008-06,-.5848546097291902,-.4491177408628018,-.28297650297495,-.1220070827782594,.1450101018676808
102,2008-07,-.5228246164093681,-.4604718615960053,-.3298709284815256,-.1429609080060912,.3284580234318709
103,2008-08,-.5506111769483764,-.4939574700820316,-.390967164954941,-.2440471789455148,.0264298190134333
104,2008-09,-.4804943016232636,-.4313452267979031,-.3678986882318182,-.2263683622677458,-.0235634123556453
105,2008-10,-.4951432736458077,-.5098344558156538,-.4513454195205951,-.3323081631091724,-.1646585781826818
106,2008-11,-.5387181479829386,-.5450268693220609,-.4993030723078967,-.3417388938191279,-.0880835107778417
107,2008-12,-.413792831334037,-.5185861639586443,-.5359806259637044,-.4662685270327134,-.2168615413383421
108,2009-01,-.5326900640826936,-.6319075521342067,-.6213332895981908,-.5207730906307344,-.2337473284564666
109,2009-02,-.5844031442325273,-.6529566525667386,-.6680571828482912,-.554152044976544,-.2672476268140112
110,2009-03,-.6038088615995091,-.6233091509557486,-.6334906684439616,-.5384507445165293,-.2374560603302711
111,2009-04,-.601815310331681,-.6277342946059389,-.6499776078066259,-.5501903745869641,-.2651619999731129
112,2009-05,-.6274410162525018,-.6244401880638527,-.6388296574634181,-.5461546596687832,-.2639838736624155
113,2009-06,-.4878514238990632,-.6424629479198926,-.6578250688518796,-.560493853750339,-.3432216997879972
114,2009-07,-.467738553477017,-.6052960882995235,-.6506985202614214,-.5751922939961541,-.4682996009757915
115,2009-08,-.5206676829765139,-.6138630466278762,-.6487462092255483,-.5531256573804759,-.3101325307773251
116,2009-09,-.4859069989641325,-.6010084350407617,-.6163850166719465,-.5486960940338366,-.3068528764074809
117,2009-10,-.2511963378049662,-.3833001539214124,-.4989974109849938,-.4747765320579272,-.2412786528091679
118,2009-11,-.2354177723466982,-.322966266967889,-.4170773072806613,-.4009783810114792,-.2246806244929585
