fips_code,state_abbr,value
1,AL,.1905574309250135
2,AK,-.0201143434067448
4,AZ,.1156260996671745
5,AR,.0311737865567793
6,CA,.2024068664591883
8,CO,.116944685553657
9,CT,.1598621549876592
10,DE,.1962855369374109
11,DC,.1335646527537666
12,FL,.0655264740124047
13,GA,.0384960396875173
15,HI,.2073006392715854
16,ID,-.0915339648164311
17,IL,.0576900597016915
18,IN,.1855371817952212
19,IA,.0925756268749984
20,KS,.1230595756891662
21,KY,.112798499272026
22,LA,.0450120959257751
23,ME,-.0040815322409419
24,MD,.1234645411960835
25,MA,.1211018625274117
26,MI,.0636333300318898
27,MN,.1419461112142412
28,MS,-.0483157985284714
29,MO,.0151407998625186
30,MT,-.05500277911386
31,NE,.0764434027973199
32,NV,.1583468993359733
33,NH,.1010037010646695
34,NJ,.1104586993336906
35,NM,.1555701421844131
36,NY,.1378365291920864
37,NC,.1216551773621622
38,ND,-.2625010849041553
39,OH,.0859767993262508
40,OK,.027201073868605
41,OR,.0555433807600336
42,PA,.1042210503092286
44,RI,.1563022885351672
45,SC,.121930697817864
46,SD,.0871463355064774
47,TN,.0209230795283522
48,TX,.1704820964015429
49,UT,.1711893859428623
50,VT,.1473751339002748
51,VA,.144109923737672
53,WA,.1633569661743099
54,WV,.2130697276548189
55,WI,.1129447487745601
56,WY,.132528625220508
