month,date,yoy_num,yoy_vol
84,2007-01,.1354711367553249,.1315959812623889
85,2007-02,.0306973597552307,-.0070242268206118
86,2007-03,.0589935791419762,.133068769970014
87,2007-04,.1398567506027533,.1657508055048119
88,2007-05,.0807928508784631,.0503440555982161
89,2007-06,.0459941855802805,.0414495599613943
90,2007-07,.0640715732896031,.042568485278552
91,2007-08,.0121989359812867,-.0651959135352477
92,2007-09,-.1122260929683202,-.1676544794929328
93,2007-10,.0550285918963475,.0213054126062333
94,2007-11,-.0197990220173822,-.033016445717263
95,2007-12,-.0477032633898255,-.0388896605340938
96,2008-01,-.1007114209186269,-.0895789557785971
97,2008-02,-.1691549924146618,-.1846631253636007
98,2008-03,-.1393017878554378,-.1631329382228828
99,2008-04,-.1311450498761605,-.1556185575396591
100,2008-05,-.1356504754172614,-.1262335087654662
101,2008-06,-.133680232031667,-.0626881487030575
102,2008-07,-.0458285258638914,.112652239552929
103,2008-08,-.2198408654426974,-.1847980100172194
104,2008-09,-.2083248922512166,-.1906803102270849
105,2008-10,-.3089632023202399,-.321795474997719
106,2008-11,-.2909392200567956,-.346143989240754
107,2008-12,-.3582849064667221,-.4259751566721612
108,2009-01,-.4167253747123131,-.4629181078965138
109,2009-02,-.4502454335413634,-.4805395102801521
110,2009-03,-.4246665810585437,-.4688247440953724
111,2009-04,-.4331310610184059,-.4825321631504778
112,2009-05,-.4352571882156711,-.4792342402109586
113,2009-06,-.4576912897339103,-.537400737916726
114,2009-07,-.5153150897559415,-.6377868097943684
115,2009-08,-.4332824755088308,-.5215972537868339
116,2009-09,-.4259320273884889,-.5195414844375804
117,2009-10,-.3241740256353665,-.4311580896212587
118,2009-11,-.2845122142516871,-.360748321178523
119,2009-12,-.187217305103814,-.2823713848910449
120,2010-01,-.1082821550782001,-.1900598180392283
121,2010-02,-.1487642710292635,-.211895476602283
122,2010-03,-.0954227770775879,-.1195358490612594
123,2010-04,-.0402618322403478,-.0881341111194129
124,2010-05,-.049391452572598,-.0940366925546862
125,2010-06,.0162023460078849,-.0550470277997612
126,2010-07,.0735745559982253,.0661200732533166
127,2010-08,.0996015318588168,.1098552842140994
128,2010-09,.1263753967141777,.1206232014335171
129,2010-10,.0498774386782989,.1421321004256852
130,2010-11,.1189642144640417,.2327701600814007
131,2010-12,.1059202071664052,.2836621870994258
132,2011-01,.0799514881176977,.1821347056720451
133,2011-02,.229206884285737,.3273225902262005
134,2011-03,.2524449483299447,.3033547938063038
135,2011-04,.1230345866482355,.176763218393664
136,2011-05,.2299882632300041,.2878824853614081
137,2011-06,.191549468433873,.2767576758614461
138,2011-07,.1291223925123366,.1648365409248427
139,2011-08,.2156992306207315,.2730707559659079
140,2011-09,.1755889614768148,.3580725397547835
141,2011-10,.1799966347596116,.2142653126557115
142,2011-11,.1504400145755727,.1572276377216563
143,2011-12,.0716525432664143,.1185048230329915
144,2012-01,.0810858998953464,.1112649685710144
145,2012-02,.1277901851380469,.1158420692783438
146,2012-03,.0163622146046064,.043383227435924
147,2012-04,.0539788436705041,.0993057374311442
148,2012-05,-.010331179258974,.0319212338611668
149,2012-06,-.0101706669729025,.0302302908532882
150,2012-07,.003408001699626,.0550494233128797
151,2012-08,-.0522544646690478,-.034224423492451
152,2012-09,-.0577213748132303,-.0816258643751999
153,2012-10,-.0155467616551752,.0046294798099481
154,2012-11,-.0409540298870146,-.008200296888732
155,2012-12,.0283241110230678,.0097100875464074
156,2013-01,.046323717992731,.1333862140652097
157,2013-02,-.0243914326301034,.0533460989252384
158,2013-03,.0287818716877068,.0634224689819408
159,2013-04,.0546956600093144,.0896855886431548
160,2013-05,.0568443687245495,.0499408817269281
161,2013-06,.0499099033348354,.0854737783374964
162,2013-07,.1042455517618249,.1340900995603896
163,2013-08,.0839561355524812,.1617959572523782
164,2013-09,.1470632392628273,.2033263877560201
165,2013-10,.1282228065082633,.1672008613800792
166,2013-11,.1339653942808704,.214832835488279
167,2013-12,.1790374292534293,.2860001862454951
168,2014-01,.1486620593622175,.1999566336580039
169,2014-02,.1579359165686887,.1895835415627543
170,2014-03,.1549509703865725,.1783470505865977
171,2014-04,.2036175987322037,.2397615425634498
172,2014-05,.1901435727904395,.2775934539530759
173,2014-06,.1290402107949094,.2019220683401861
174,2014-07,.2260909236910627,.2739419834211307
175,2014-08,.0831882472512162,.1147124518996233
176,2014-09,.0499293046547759,.0745162698154971
177,2014-10,.0296250177374446,.0423178822355402
178,2014-11,.0195441242132751,.0275190790131592
179,2014-12,.0234385521729734,.015532936845341
180,2015-01,.0814766736077766,.0602174228855491
181,2015-02,.0620773090697854,.038629152079927
182,2015-03,.086227165814949,.1168308819769286
183,2015-04,.0627684914571606,.0925221682221113
184,2015-05,.0500042630642194,.0861680321114599
185,2015-06,.168555915604583,.211384967936708
186,2015-07,.0388117250213951,.0660528113483672
187,2015-08,.1155118709780601,.1524998130485467
188,2015-09,.1409826193485516,.1838236932273416
189,2015-10,.2127892498021705,.286054239883395
190,2015-11,.1699019473275672,.1993951454733212
191,2015-12,.0853311892543807,.1310054165387513
192,2016-01,.0853559864506455,.1573122372821079
193,2016-02,.1792460181466888,.2414932512079757
194,2016-03,.1196058223610899,.1742814660314916
195,2016-04,.0833580029230995,.1150207692630086
196,2016-05,.2015386441537185,.2042686713444342
197,2016-06,.1114991561269975,.1814111306141594
198,2016-07,.1865506740162616,.218467006290594
199,2016-08,.1052231240283653,.1712704252715018
200,2016-09,.0289316562382895,.1253709909241804
201,2016-10,-.1075186821179182,-.0576249490204158
202,2016-11,-.0343753542764627,-.0033823636241871
203,2016-12,-.0198686236828199,-.0097762094074928
204,2017-01,.0317103266955922,.203580298874206
205,2017-02,-.0721042641317638,-.0180289047577885
206,2017-03,.0321063627148873,.0377981974505163
207,2017-04,-.0792112521766345,-.0535514469708295
208,2017-05,-.1164308536200759,-.0825235038866801
209,2017-06,-.0560694532132733,-.0668696837980457
210,2017-07,-.0709834172662658,-.064037216404682
211,2017-08,-.0275342483346256,-.0596322569881123
212,2017-09,-.1007775553637678,-.1295083741595182
213,2017-10,.0261972539242774,.0169537512198008
214,2017-11,.0212036815440644,.0558793428791291
215,2017-12,-.0136157048533158,-.0156254341929861
216,2018-01,-.0137316327689771,-.1121575888876781
217,2018-02,.0139363939091875,.0082208078239474
218,2018-03,-.0571474655349224,-.0390746240850502
219,2018-04,.0393454143082486,.0666933259591381
220,2018-05,.0402085839713808,.0599064133205561
221,2018-06,-.0206768533411705,-.0239025743366597
222,2018-07,-.0182838759282052,-.0095382156702304
223,2018-08,.0226979534596493,.0467337825003274
224,2018-09,.0901888294635513,.0765824241719269
225,2018-10,.1018537589067464,.094518146031432
226,2018-11,.0287300141186146,.0155634379265881
227,2018-12,.0183261206855023,.0351302363395787
228,2019-01,.0523727961274924,.0832292288164627
229,2019-02,.0355053557125921,.0725623190039169
230,2019-03,.0855415065941895,.0904980564506913
231,2019-04,.0564112121075468,.0497418727410236
232,2019-05,.0414147704077148,.0114515490278345
233,2019-06,.0527006889478803,-.0032405486700081
234,2019-07,.0117205999153864,-.0260708783946483
235,2019-08,.1634055426141113,.1521156473714233
236,2019-09,.2162528910487714,.1410718675417618
237,2019-10,.095752471913567,.0302555708041046
238,2019-11,.0808953742641946,.0118132598846917
239,2019-12,.1553093186858359,.0961869151744051
240,2020-01,.0961708519782038,.0068049618216232
241,2020-02,.1337700151649428,.0266971903535574
242,2020-03,-.1992395981370248,-.3375496269843075
243,2020-04,-.491269791101609,-.6106604451674408
244,2020-05,-.4770307490096435,-.5793048284937776
245,2020-06,-.388590124238167,-.5029982417418927
246,2020-07,-.3261860438073191,-.4709166414330437
247,2020-08,-.3393361829236038,-.5048369450000921
248,2020-09,-.3117644941033702,-.4215990615438115
249,2020-10,-.1979801245305933,-.3421128103307286
250,2020-11,-.1267022750119823,-.2877971765454963
251,2020-12,-.2062847910409668,-.330041108252812
252,2021-01,-.188393686694138,-.344362561426529
253,2021-02,-.1594487843119603,-.2969413214810359
254,2021-03,.2583238389624581,.1939800983416103
255,2021-04,1.083239987770395,1.181742118975906
256,2021-05,1.141526453059973,1.221799454748336
257,2021-06,.9408500619510607,1.222048064231354
258,2021-07,.7152753389441207,1.050817674390986
259,2021-08,.5042095126820239,.7762037099080672
260,2021-09,.4900244739337681,.6380141903707431
261,2021-10,.3386490916867025,.5307316467172841
262,2021-11,.3289287503183273,.6100833951103406
263,2021-12,.3911310313104268,.5750139955959337
264,2022-01,.2727996015413238,.4627913557890255
265,2022-02,.3074254566151704,.524937386598231
266,2022-03,.2349979339418818,.5019772037438288
267,2022-04,.1636946381279311,.3859343263346671
268,2022-05,.0956950199899711,.2998610511121777
269,2022-06,.084927588625939,.1886072486343428
270,2022-07,.086664262001995,.2400361177293756
271,2022-08,.0980062573654901,.2274273121832408
272,2022-09,.0520725723880178,.209599468899507
273,2022-10,.0212449273001756,.1532428352120977
274,2022-11,-.0155984486896222,.1143939308437798
275,2022-12,-.0496053165397339,.0848041747559416
276,2023-01,.0872351720641168,.2842105387594874
277,2023-02,.00460006545257,.1895520666315748
278,2023-03,-.0516513349609265,.057293925614587
279,2023-04,-.014273312485123,.1085548400001274
280,2023-05,-.0126866297824504,.1127003163326446
281,2023-06,-.0576548591426955,.0200240825140328
282,2023-07,-.0454245227153739,.0181960542925262
283,2023-08,-.0598521460569519,.0057771140614485
284,2023-09,-.0845615700935523,-.022418731486518
285,2023-10,-.0596117897582151,-.0250343052343192
286,2023-11,-.0545941972140205,-.0269156181417949
287,2023-12,-.0457556985766141,-.0206894081246092
288,2024-01,-.0779431249831259,-.0466138396196602
289,2024-02,-.0448607854882579,-.0122724156828732
290,2024-03,-.0694751460479724,-.047325525667218
291,2024-04,-.0513870793218878,-.0598304853962043
292,2024-05,-.0658069387306074,-.0747517416517109
293,2024-06,-.0445872439121239,-.0320148868169871
294,2024-07,-.0426743272018175,-.0560006930843216
295,2024-08,-.0168043270664547,-.036645104999708
296,2024-09,-.0100625073518812,-.0287609785727
297,2024-10,.0150094262063384,-.0100256550522652
298,2024-11,.02448700104372,.4641975876419983
299,2024-12,.1147362013636027,.0536038423582119
300,2025-01,.1083284976052162,-.0005084261999214
301,2025-02,.0360805209013281,-.056053918730199
