month,date,younger-than-30_yoy,30-44_yoy,45-64_yoy,65-and-older_yoy
84,2007-01,.1365516417187188,.1233556389664156,.1516883191649064,.1276664038696512
85,2007-02,.0983027508426448,.0347264417016572,.0195295740366435,-.0256376664967625
86,2007-03,.0653030061505015,.0199547600877343,.0666039330231327,.1469761942158433
87,2007-04,.1198455740978152,.1331627454202959,.1471750882696334,.1878125629849844
88,2007-05,.0958951026891761,.0880819921471605,.0794566753506568,.0420734114682436
89,2007-06,.0819767366006104,.0540305457971249,.0328925279654809,.0035768629759695
90,2007-07,.0883446847375468,.0516125632066488,.0648103279526637,.0622033119357185
91,2007-08,.0693231516542216,.0135956279017113,.006809263135502,-.0821926321454627
92,2007-09,-.0541734955217751,-.0787427320264953,-.1226957865122975,-.2457144838389905
93,2007-10,.0166520321537392,.0525481617277486,.0755070128502993,.1074972222594077
94,2007-11,-.0435604746796539,-.0364272125806576,.0051289577171907,.0261880912632165
95,2007-12,-.0960277981925875,-.0914747778828544,-.0156656497089246,.1113498939912585
96,2008-01,-.0779896132442291,-.1315811415865409,-.0910217741252227,-.072641079646368
97,2008-02,-.0838757527758766,-.153992526421551,-.1792065351552406,-.2812008862645932
98,2008-03,-.1635223553778742,-.1470625979586463,-.1141337192926746,-.1340229359398192
99,2008-04,-.1524397303581376,-.1710700771732964,-.1001508365389309,-.0594872515481942
100,2008-05,-.1964057844656682,-.1767954498673631,-.0944126681569736,-.0025303436069844
101,2008-06,-.234410025005395,-.1778319319736767,-.0710195395549271,.0261269813547724
102,2008-07,-.1983768482923388,-.1717022424252506,.0389942464586482,.4174452328580521
103,2008-08,-.3111250509975844,-.2597579045396425,-.167751546101763,-.0429165746911315
104,2008-09,-.2870646977077535,-.2456220908594378,-.1737353678059113,-.0417187271473642
105,2008-10,-.3729069573294385,-.3460213602961532,-.2715006134320022,-.2007865235766697
106,2008-11,-.4226729876755599,-.3544269510169503,-.2163289143835695,-.0634842412936674
107,2008-12,-.4390602634538067,-.396416342964076,-.3160088883305023,-.2315335184683131
108,2009-01,-.503500791471403,-.4655049073925571,-.3780634039447568,-.226251191563925
109,2009-02,-.567835885104415,-.505863729195366,-.3985604189786079,-.2488303277754416
110,2009-03,-.5323105739281345,-.4860583758247855,-.375768468986923,-.210063461658954
111,2009-04,-.5256603518876841,-.4825641586095472,-.3997885531376111,-.2443921364112068
112,2009-05,-.5292052137195,-.4933067929588282,-.3874755334070567,-.2675571388610068
113,2009-06,-.5166547225235314,-.5104824482564505,-.4325119606356173,-.2984150579786533
114,2009-07,-.5311043794289796,-.5196415065799423,-.5035789091515784,-.5176669546787193
115,2009-08,-.4787152062928673,-.4779682180698875,-.4052920077426543,-.3311240989316295
116,2009-09,-.4776116144221454,-.4751393874822507,-.3960636705796023,-.311918710921857
117,2009-10,-.3727563469569871,-.3681961244548768,-.3042884469055928,-.209406857396077
118,2009-11,-.3150638058714628,-.286761813555693,-.283922077114488,-.2399795019227801
119,2009-12,-.1741838406511244,-.2269939503354792,-.1803746664794268,-.1309972279479709
120,2010-01,-.1204227030624256,-.1349553088908593,-.1038676728283514,-.0465539029048392
121,2010-02,-.145679091077582,-.1547963546085991,-.1604724884163037,-.1066730001820535
122,2010-03,-.1401397737244091,-.0929358326402665,-.095342316092224,-.0487540485160945
123,2010-04,-.0847664786298724,.0340274887631091,-.0630794066378303,-.0631170919428522
124,2010-05,-.059562833659385,.0023067386807315,-.0675083718081421,-.0778681389040221
125,2010-06,.0545428975206839,.0626484552409343,-.017914601102318,-.0250129368826853
126,2010-07,.0720240350334442,.118446562935528,.0470263481226597,.061911936127256
127,2010-08,.119487548095218,.1457427703691349,.062592743507812,.0904604254148903
128,2010-09,.1679201003814106,.1911607496313059,.0869053430819078,.0626806837278227
129,2010-10,.0659830403977467,.1103461668765197,.0214196061298315,-.0008943277620376
130,2010-11,.1828092708657633,.1434097144492724,.0925574833417626,.0676117744198072
131,2010-12,.0454758326582116,.138986917031002,.1090277273294238,.1101301504590378
132,2011-01,.0339522071975384,.1598668405157217,.0655076770761385,.0250225723225793
133,2011-02,.2826395789886207,.2961320782018061,.2017409744321839,.1298465228716527
134,2011-03,.3907998780241112,.3110162558046375,.1958867945310999,.1575663243325869
135,2011-04,.1922070662620552,.1069167644790415,.1249478041412171,.0753941785615443
136,2011-05,.31839705508738,.2378810764301318,.1922511590361534,.2127854604367591
137,2011-06,.2400384799289599,.2005718223098637,.1733976324798211,.1605275804880294
138,2011-07,.1974456238252056,.1453854559205373,.1063077907407283,.0792807825805287
139,2011-08,.2174563807301659,.236188742703767,.2005448197463793,.215978598463171
140,2011-09,.1591630188397659,.1376498520085604,.1761814570598226,.2726027587879466
141,2011-10,.1970967046035341,.161791865921831,.1697625221930864,.2218204516233414
142,2011-11,.1358538225954432,.1431003751638822,.1402349419941346,.2170415883907182
143,2011-12,.0515600750420405,.0448831716064015,.0794676511201001,.1279447877290887
144,2012-01,.0922202116727964,.0405628128741502,.071144844548332,.1779446025862726
145,2012-02,.1395530918286901,.0920506829762295,.1118210400722542,.2243363547402637
146,2012-03,.0121169099093819,-.0126804335354277,.0157845702032691,.0799310539991253
147,2012-04,.0883731256273136,.0166151401578599,.0300849599853331,.1507525733017228
148,2012-05,.0136552145453352,-.0336021142562139,-.0207288462879167,.032905959298189
149,2012-06,-.0006072469613063,-.0287532956717955,-.0123845254886422,.0193204973809086
150,2012-07,.0363384231526633,-.0064338784534791,-.019304742399304,.0368576627156479
151,2012-08,.0201830561600486,-.0820826875872361,-.0785407550917722,-.0238972318521273
