month,date,num,num_unadj
72,2006-01,6590424.72838506,5872118.181818176
73,2006-02,7463852.558056626,6621765.15151514
74,2006-03,6960489.703076956,6731455.050505044
75,2006-04,6494049.624518556,6239876.767676761
76,2006-05,6668747.819556084,6665168.686868681
77,2006-06,6768164.072845354,6814475.757575752
78,2006-07,6680372.391617582,6870346.969696964
79,2006-08,7022900.585158692,7570497.979797977
80,2006-09,7802148.19836123,7851637.373737371
81,2006-10,6807887.097815866,7055753.53535353
82,2006-11,6884561.966749469,7532409.595959594
83,2006-12,7122530.528227646,7455824.747474743
84,2007-01,7490845.665728019,6667620.707070703
85,2007-02,7718804.875046813,6825035.85858585
86,2007-03,7385453.062070658,7128567.676767671
87,2007-04,7373263.017946044,7112565.656565652
88,2007-05,7204881.434768944,7203666.666666666
89,2007-06,7088484.122629596,7127902.02020202
90,2007-07,7099557.460291128,7310540.909090902
91,2007-08,7126672.454534063,7662849.999999994
92,2007-09,6937667.644261164,6970478.787878782
93,2007-10,7186002.835956738,7444021.717171712
94,2007-11,6720077.21408912,7383275.252525248
95,2007-12,6745101.367767378,7100157.575757571
96,2008-01,6747405.124675059,5996115.151515145
97,2008-02,6461846.159950348,5670596.969696962
98,2008-03,6370126.161425679,6135495.454545449
99,2008-04,6367979.652224815,6179787.878787871
100,2008-05,6222523.897679579,6226485.858585849
101,2008-06,6165166.260452922,6175042.42424242
102,2008-07,6764460.913118591,6975559.595959593
103,2008-08,5588507.073983558,5978242.424242416
104,2008-09,5511096.026608163,5518304.545454539
105,2008-10,4964868.069243788,5144092.929292926
106,2008-11,4724681.10739814,5235190.909090905
107,2008-12,4296681.684964236,4556278.282828282
108,2009-01,3939929.188097544,3497381.818181821
109,2009-02,3590536.158346556,3117409.09090909
110,2009-03,3663766.38347632,3529984.343434344
111,2009-04,3593049.147274117,3503129.797979799
112,2009-05,3514383.217162028,3516363.13131313
113,2009-06,3355902.086510611,3348779.292929294
114,2009-07,3276289.453221448,3380924.242424242
115,2009-08,3182224.276485698,3387974.747474749
116,2009-09,3173351.382545059,3167910.606060605
117,2009-10,3366456.216418896,3476511.616161616
118,2009-11,3348240.275234563,3745715.151515153
119,2009-12,3468712.491270543,3703264.14141414
120,2010-01,3518480.678008425,3118677.777777778
121,2010-02,3085604.398000965,2653650.000000002
122,2010-03,3297933.399765937,3193143.434343435
123,2010-04,3435017.068089149,3362087.373737374
124,2010-05,3334926.942634252,3342684.84848485
125,2010-06,3428497.02554478,3403037.373737375
126,2010-07,3520182.615503095,3629674.242424242
127,2010-08,3518291.87212532,3725422.222222222
128,2010-09,3595943.227676373,3568256.565656567
129,2010-10,3540403.207365972,3649911.11111111
130,2010-11,3724729.650178212,4191321.212121211
131,2010-12,3807392.480957334,4095514.646464644
132,2011-01,3792839.576626848,3368020.707070705
133,2011-02,3820987.119790267,3261884.84848485
134,2011-03,4107523.394291867,3999236.363636366
135,2011-04,3845762.629453264,3775740.404040406
136,2011-05,4097073.152641854,4111463.131313129
137,2011-06,4096109.657241074,4054887.373737374
138,2011-07,3969704.577615162,4098346.464646467
139,2011-08,4294874.476368451,4528992.929292926
140,2011-09,4247253.979776071,4194803.030303029
141,2011-10,4204004.70795203,4306882.828282828
142,2011-11,4290785.978267799,4821863.636363634
143,2011-12,4062279.261018536,4388968.686868683
144,2012-01,4080847.792387041,3641119.696969695
145,2012-02,4325674.134892204,3678721.717171717
146,2012-03,4144621.421524979,4064672.727272727
147,2012-04,4037485.338245138,3979550.505050504
148,2012-05,4046876.077257114,4068986.86868687
149,2012-06,4054041.197002864,4013646.464646463
150,2012-07,3971353.276582785,4112313.636363636
151,2012-08,4091992.310518655,4292332.828282829
152,2012-09,4023921.887439359,3952673.23232323
153,2012-10,4143112.731952808,4239924.747474748
154,2012-11,4143319.904814441,4624388.888888885
155,2012-12,4186694.36105814,4513282.323232325
156,2013-01,4254108.350044524,3809789.898989898
157,2013-02,4218875.38843401,3588992.424242424
158,2013-03,4248807.150536275,4181661.616161613
159,2013-04,4245854.557739588,4197214.646464644
160,2013-05,4256347.605122131,4300285.858585857
161,2013-06,4233002.515119716,4213967.171717171
162,2013-07,4341538.550003835,4541004.040404039
163,2013-08,4462234.302598751,4652700.505050504
164,2013-09,4641378.949773538,4533966.161616161
165,2013-10,4682673.98153883,4783579.797979796
166,2013-11,4754487.799055029,5243896.969696966
167,2013-12,4976561.966068273,5321328.787878782
168,2014-01,4862653.908042427,4376161.11111111
169,2014-02,4876173.433823625,4155823.232323231
170,2014-03,4887928.390372576,4829614.141414141
171,2014-04,5112825.514287345,5051841.414141411
172,2014-05,5039785.119108248,5117957.575757571
173,2014-06,4742018.440716768,4757738.383838382
174,2014-07,5246666.745395282,5567683.838383835
175,2014-08,4854256.654241783,5039750.505050503
176,2014-09,4910080.583917514,4760343.939393939
177,2014-10,4829991.354187992,4925293.434343432
178,2014-11,4896258.236277039,5346384.343434342
179,2014-12,5149135.284050358,5446053.030303027
180,2015-01,5231738.782887546,4732716.161616158
181,2015-02,5160338.207728425,4413805.555555552
182,2015-03,5305721.046645336,5246058.080808082
183,2015-04,5453851.005016632,5368937.878787875
184,2015-05,5268415.005295506,5373877.27272727
185,2015-06,5511249.567355022,5559683.333333329
186,2015-07,5363765.166495334,5783775.252525248
187,2015-08,5411917.951105092,5621901.515151512
188,2015-09,5646297.752612277,5431469.696969694
189,2015-10,5874263.018536887,5973342.929292926
190,2015-11,5767111.343953146,6254745.454545451
191,2015-12,5657084.490523713,5910771.212121207
192,2016-01,5626089.754027152,5136681.818181815
