month,date,younger-than-30_yoy,30-44_yoy,45-64_yoy,65-and-older_yoy
84,2007-01,.1171311080035439,.0771804772387492,.1051613711925418,.3704977883872775
85,2007-02,.0096849828102627,.0471040324603945,.0851060474651108,.0133474403841458
86,2007-03,-.0375650403865906,.0001684467629274,-.0219024318967748,-.1335538916942364
87,2007-04,.0866712568901796,.0142887557896167,.0204496863278645,.1116725618999495
88,2007-05,-.0601605259026134,-.1055062067810568,-.1793167149736071,-.0804050029779629
89,2007-06,-.2793555988563034,-.2762808829841881,-.3599854217188358,-.206954390039352
90,2007-07,-.1639277740272544,-.1521904188318618,-.2689225691972107,.115591769092667
91,2007-08,-.0320191376663022,-.0288935831702021,-.0404631631296858,.2802314955833075
92,2007-09,-.0105400588752934,.0158029724277634,-.0612546191609072,.1983114718457865
93,2007-10,-.0323170957756408,.002916909332017,-.1209829991567306,-.0630513074795138
94,2007-11,-.0732019106438656,.0127070322166438,-.1006138968870533,-.1786663033853274
95,2007-12,-.0947853889030352,-.1380598772648829,-.1413999600167204,.1242796772954283
96,2008-01,-.0182392531842297,-.021146789868119,.0349768567277517,-.0908811475409839
97,2008-02,.0376882353572848,.0133057301344887,-.035535226413997,-.0706770540518834
98,2008-03,-.0714466908636304,-.1140367959102402,-.1444467852833576,.291097266881029
99,2008-04,.0213087938449976,.0320997726678657,-.071969297854578,-.0392727272727272
100,2008-05,-.1441200865004263,-.0496400677739746,-.1681849614722402,-.0323024611398963
101,2008-06,-.1559016213607151,-.150111330422861,-.2248309898228853,-.0641828682990317
102,2008-07,-.0243797509862899,.1375234515880296,-.0352693823915899,-.1768383263183956
103,2008-08,.0482169380735318,-.0557310077683462,-.1017680181763754,-.1844396859386152
104,2008-09,.319250931544877,.2114307794233369,.144009318731441,-.0619576063620699
105,2008-10,.248254375375021,.1526671823014496,.1601190964377936,.0456241992089576
106,2008-11,.0181681391329574,-.0293022015953196,-.0595930232558146,-.113700447835462
107,2008-12,.2743468437292079,.320851084971866,.1967127231162449,-.4892362890825218
108,2009-01,.1492362494559553,.1702040064420143,-.0232978651233915,-.116364251098839
109,2009-02,.1859692997585379,.2145480526329214,.085313805482413,.0052718001901304
110,2009-03,.2275989422795403,.3382784793082071,.1897875579234838,-.0521441357304072
111,2009-04,.1595782695689933,.2143427257971053,.1304852859619471,-.0590461771385315
112,2009-05,.2558264535359896,.2651948576428609,.2402794331595708,-.1515937421567808
113,2009-06,.3099480261044327,.4195968736831452,.2841172370924288,-.010083449235049
114,2009-07,.0397027646634095,.1058960108352612,.0737809998141128,-.1661027144898111
115,2009-08,.0556938969055165,.0664558026097223,.0672343613714129,-.1196977653305331
116,2009-09,.0277872249869679,.0706039860533303,.0749636055593778,-.0541228805363936
117,2009-10,-.077280597061878,.0959343133641927,.0154909391609489,-.2149706979222158
118,2009-11,.0737179392065331,.2341707976566019,.2428390774604063,.0038364367923645
119,2009-12,-.0605756133027905,.1186811409398498,.1123797226545915,.7126609800970062
120,2010-01,-.0373215429409808,.1019743472012695,.0776624590930346,.0052292583381158
121,2010-02,-.0245555353572082,.0863654571786327,.0940076011314932,-.047541265474553
122,2010-03,.076410316120394,.1183297821969699,.1081788932999687,-.2787585187618031
123,2010-04,-.0608236091244453,.0213963056533832,-.0227286773794803,-.4106999195494771
124,2010-05,-.181822371000521,-.1211376491059162,-.1085933545818912,-.0299773197909476
125,2010-06,-.0913467720045137,.0589516043459513,.1328651582382931,.05497014401124
126,2010-07,-.2440378061558375,-.1066443523126005,-.0752181089365718,.0699729486023444
127,2010-08,-.0294862150068351,.0771607598156162,-.0094071050990952,-.1474067937033972
128,2010-09,-.0257184305699637,.062646325854492,.0709304892075323,.1891762941757828
129,2010-10,-.05568252640437,-.0452625144199979,.0272583435298086,.204818459450288
130,2010-11,-.0504811462661154,-.0427107581359255,-.0295718461811776,-.0636651752423564
131,2010-12,-.1942580011077809,-.2164793503753329,-.1665460847995289,-.3836914062499999
132,2011-01,-.1157060815333977,-.0818507571879561,-.0618077521839584,-.3185941762354876
133,2011-02,-.1702276590034889,-.1298689577993572,-.1159898477157363,-.1967686614315371
134,2011-03,-.1799582849551052,-.1083324953824497,-.1017341668562584,-.0043260473588343
135,2011-04,.0352158062313031,.0929128864344772,.0550957327388569,.9040955631399316
136,2011-05,.2598693913553164,.3069661415079165,.235223933276554,-.005286164481041
137,2011-06,.123578202984834,.1141110021702216,.0767542510868465,-.2799234226735476
138,2011-07,.2125887556470105,.1831921672760377,.1330792220450695,-.1115793022079892
139,2011-08,.3927817524920313,.2894414349719777,.2518640120075266,.3233179150309017
140,2011-09,.2198885701328497,.1672620859690009,.1012115349561684,-.0608127471771646
141,2011-10,-.030681180770867,.0256316293084144,-.0831127385042542,-.2663775136596628
142,2011-11,-.0383725084830369,.0622399961856171,-.0328196252038751,-.0303633648581385
143,2011-12,.0325603033946731,.1221563721724645,.0152483521095853,.2771351608302962
144,2012-01,.1930440872407123,.1704507414130466,.0302618750049546,.4439065263941886
145,2012-02,.1381716126609548,.1271658828445182,.0708405110536891,.1995729857287335
146,2012-03,-.0242252040840216,.077206487885294,.0150227003814268,.2490281271438372
147,2012-04,-.0730812116706936,-.017649914581207,-.0522674059227899,-.3946047678795482
148,2012-05,.0188273089935094,.078517181352254,.0171226601153524,.056004087889627
149,2012-06,.0583052755390709,.179369828453808,.0560228721229469,.4008785111547798
150,2012-07,-.0177572178928218,.1833146311755657,.1748193385383578,.5702902675014225
151,2012-08,-.0302684625309525,-.0772851964288776,-.126672023563587,.1919224555735064
