month,date,yoy_num,yoy_vol
84,2007-01,.104248317287211,.021209172577335
85,2007-02,.0307609104007456,-.0245730755796684
86,2007-03,-.0251381025361495,-.1347313793914363
87,2007-04,.0511136748563759,-.1525443933385103
88,2007-05,-.0930047421521095,-.3702715110971891
89,2007-06,-.2913577423686213,-.4661928982511988
90,2007-07,-.1763901702273206,-.4256338963657268
91,2007-08,-.032095158928665,-.0980654115846393
92,2007-09,-.0123169146437884,-.0591420635842912
93,2007-10,-.0377590930758275,-.2494457579288949
94,2007-11,-.0578743669367335,-.2583946941466029
95,2007-12,-.1137387301159104,-.2662462786580549
96,2008-01,-.0128889526919128,-.1004106260620009
97,2008-02,.0178542819837067,-.144677974548389
98,2008-03,-.0952634406824955,-.3415551039922397
99,2008-04,.0093397000227087,-.2432424891625642
100,2008-05,-.1189955632119484,-.2632029367348827
101,2008-06,-.1633192260182953,-.4110851612228504
102,2008-07,.0175531524811479,-.1443556108004327
103,2008-08,.0070730424849851,.0162611384156649
104,2008-09,.2715896009446077,.1478363630705896
105,2008-10,.2110835496344841,.2124833885683215
106,2008-11,-.0050347993484377,-.1518719117026584
107,2008-12,.2701654976426796,.160048807272709
108,2009-01,.1260603423233911,.0646828851351171
109,2009-02,.1780326543220208,.0234133515230143
110,2009-03,.2530379377630695,.2586397845547572
111,2009-04,.1695034654454357,.1406568471973507
112,2009-05,.2538420973531358,.2356209244693114
113,2009-06,.3356840143977267,.2613164846816279
114,2009-07,.0617321930563685,.1113951030967944
115,2009-08,.0574560556540022,.0496546129994614
116,2009-09,.0397834023084916,-.0208000410139504
117,2009-10,-.0265235678300317,-.0439075698875547
118,2009-11,.1336645792070712,.1362195076564162
119,2009-12,.0116880364799847,.0025404343704814
120,2010-01,.0161294628673947,.0164909200059297
121,2010-02,.0229306506377428,.0776975777086756
122,2010-03,.0924637325903087,.102670707111548
123,2010-04,-.0294257245262719,.0679416407871846
124,2010-05,-.1530208880856544,-.0143524518541115
125,2010-06,-.0147011355071046,.1958608253617897
126,2010-07,-.1761261000923552,-.1063966246122541
127,2010-08,-.0093081493343331,.0520131179850216
128,2010-09,.0052806901285115,.0699550038647736
129,2010-10,-.0422085960683665,.0661662839465928
130,2010-11,-.0455219132679334,.0550814379908825
131,2010-12,-.1981931427761655,-.0668584037611038
132,2011-01,-.0989432599982394,.0301181836435054
133,2011-02,-.1503606439875854,-.0020531124920861
134,2011-03,-.1442925406812915,-.0459661890634354
135,2011-04,.061406872110806,.3735102642933399
136,2011-05,.2718536080174944,.3117570563037046
137,2011-06,.1126099623656549,.1432681176990095
138,2011-07,.1892993071602235,.1812674653614657
139,2011-08,.357321442548469,.1572392322304613
140,2011-09,.1921685673294475,.017127042671911
141,2011-10,-.0237814671970436,-.1787815280809339
142,2011-11,-.0095689001012765,.018288748989015
143,2011-12,.058570790911765,.0202996318030132
144,2012-01,.1656837623971681,-.0152784922556758
145,2012-02,.1247886792108377,-.0218733785614296
146,2012-03,.0187996973947077,-.0096063347614198
147,2012-04,-.0531071071050641,-.2410346897360237
148,2012-05,.0388383870156015,-.0076362549268684
149,2012-06,.100124581759814,.0677159530626076
150,2012-07,.0812189292051023,.2027124155512457
151,2012-08,-.0484106419604257,-.0196887076856383
152,2012-09,-.112199800783921,-.0848871279073322
153,2012-10,.0590584853923816,.166251824286041
154,2012-11,-.1469439415311071,-.1146080682495141
155,2012-12,-.1726594419038275,-.063330400561671
156,2013-01,-.1060421151702477,-.0215378296357288
157,2013-02,-.1335784957534364,-.0280911822479196
158,2013-03,-.2055347474539906,-.1387025013831805
159,2013-04,-.210865699629278,-.1317356000399717
160,2013-05,-.263001960531993,-.2038387705595081
161,2013-06,-.3660439308850448,-.3585943141916039
162,2013-07,-.3694130018028362,-.3294689442514864
163,2013-08,-.1711504701649489,-.1528575739290324
164,2013-09,-.065327328729342,-.0459404406965836
165,2013-10,-.1587690475212554,-.1524952401860462
166,2013-11,-.1195426492223127,-.0371908265629101
167,2013-12,-.1289910374506267,-.0454243790645267
168,2014-01,-.0977233981975507,-.1096787300386904
169,2014-02,-.0838852445358942,-.0466761214318281
170,2014-03,-.1062179262345026,.099943332118611
171,2014-04,-.0804810082846993,.1437772342920567
172,2014-05,-.0866944802213573,.0114095924415067
173,2014-06,-.024806180321761,.2172877852719313
174,2014-07,.0093578789194857,.1812543190200108
175,2014-08,-.0221383102845665,.0471568451681761
176,2014-09,.0006131896168292,.0955080770523833
177,2014-10,-.1015122830658963,.0812124281815237
178,2014-11,-.1244205548564158,.0416929111847904
179,2014-12,.0768123711549423,.528316869835243
180,2015-01,-.0767934805573091,.2092579084977954
181,2015-02,-.0950666463623639,.1646767900319578
182,2015-03,-.0216776026605924,.2144610882789112
183,2015-04,-.1093876471994783,.0922222674601858
184,2015-05,-.0759465058062261,.1240866196013667
185,2015-06,-.0645635166023232,.1631859154274249
186,2015-07,-.0265691215358406,.0787606104881611
187,2015-08,-.0623191359235411,-.0384793681244738
188,2015-09,-.0490750013830648,-.0038451398418296
189,2015-10,-.0611906168138341,-.0002821550890341
190,2015-11,-.0559960234434903,-.0136215566188445
191,2015-12,-.0884486541412308,-.0135720329244096
192,2016-01,-.0497780819732025,-.0537484621606028
193,2016-02,-.030146516661513,-.0024088631750548
194,2016-03,-.0366901138596892,.0083359404889545
195,2016-04,-.0822596836916436,-.0401367882885625
196,2016-05,-.0378867814308399,.0852222742056468
197,2016-06,-.0517089339879291,.0091267457325668
198,2016-07,-.1555576960692489,-.0510020364275114
199,2016-08,.0605560190771736,.0999438961908908
