fips_code,state_abbr,value
1,AL,.1660861897422711
2,AK,.3116880526095393
4,AZ,-.0512822824866008
5,AR,.1676182113104302
6,CA,-.0199290266242413
8,CO,-.0406635042190815
9,CT,-.0278317781140196
10,DE,.1161457231325464
11,DC,-.0341099288470512
12,FL,.0612239005372453
13,GA,.1359347815934909
15,HI,.0539040876001816
16,ID,-.0853237337445161
17,IL,.0083035470416858
18,IN,.0112737116209991
19,IA,-.0655729506088574
20,KS,.2480731773841192
21,KY,.058789922332231
22,LA,.0467996120539106
23,ME,-.1630534183550826
24,MD,.0295535384158557
25,MA,-.0202122408743577
26,MI,.0556740887045404
27,MN,.0660417742756037
28,MS,.0136640858824195
29,MO,.1059936634951311
30,MT,.0138266808006219
31,NE,-.0161853057146938
32,NV,.1289993020226316
33,NH,-.0607111691307756
34,NJ,.0563722101208843
35,NM,.1005150051131814
36,NY,-.0115720576761192
37,NC,-.0003760909167889
38,ND,-.0754585248500299
39,OH,.0353453671109963
40,OK,.1531186370052545
41,OR,.0454503880011105
42,PA,.0558141844783639
44,RI,-.0392137794707743
45,SC,.1355835622214409
46,SD,-.023724112077208
47,TN,.0662935011180607
48,TX,.0981051304360243
49,UT,.1092183987548934
50,VT,-.0673247919154036
51,VA,.0731901097720663
53,WA,.0292002930003538
54,WV,.2719116928428517
55,WI,-.0085824984430232
56,WY,-.143476563223158
