month,date,inquiry_index,unadjusted_inquiry_index
222,2018-07,285.20347,302.54428
223,2018-08,290.40043,310.85737
224,2018-09,286.42915,278.49287
225,2018-10,291.90892,280.60427
226,2018-11,290.69955,268.04187
227,2018-12,287.74828,260.68731
228,2019-01,282.48683,262.90472
229,2019-02,282.75427,275.80282
230,2019-03,291.60744,324.81558
231,2019-04,287.97667,293.00764
232,2019-05,291.89012,312.31503
233,2019-06,287.80603,290.19833
234,2019-07,290.07191,307.3899
235,2019-08,299.6213,317.93807
236,2019-09,290.10549,280.97973
237,2019-10,293.83016,283.28548
238,2019-11,304.34741,279.62808
239,2019-12,293.32203,265.40042
240,2020-01,290.03111,271.3945000000001
241,2020-02,304.36912,296.29842
242,2020-03,217.61998,243.39856
243,2020-04,211.30514,216.93096
244,2020-05,293.00111,312.72583
245,2020-06,310.2124700000001,313.28681
246,2020-07,289.996,306.20169
247,2020-08,279.28629,294.28862
248,2020-09,282.07626,272.67547
249,2020-10,282.05764,272.55621
250,2020-11,273.02198,249.91828
251,2020-12,284.00556,256.96365
252,2021-01,291.81568,274.19497
253,2021-02,267.07842,260.59013
254,2021-03,332.9666800000001,372.75498
255,2021-04,313.5495,323.99841
256,2021-05,297.54707,316.5952600000001
257,2021-06,293.52468,296.32051
258,2021-07,285.93563,300.4638
259,2021-08,270.51063,284.43394
260,2021-09,276.50436,267.26446
261,2021-10,276.86466,268.3069
262,2021-11,277.55838,253.04563
263,2021-12,273.13449,247.89081
264,2022-01,278.22706,261.13786
265,2022-02,277.16692,271.05879
266,2022-03,283.77701,318.03525
267,2022-04,281.20939,291.96519
268,2022-05,270.913,287.95441
269,2022-06,274.96326,276.86735
270,2022-07,264.62429,276.58907
271,2022-08,272.34842,286.23614
272,2022-09,273.97751,264.98079
273,2022-10,273.20087,265.11772
274,2022-11,266.9824,243.29255
275,2022-12,262.59346,239.58214
276,2023-01,268.52546,251.03582
277,2023-02,260.10558,255.03777
278,2023-03,252.68608,283.67419
279,2023-04,249.59967,259.12364
280,2023-05,258.54684,274.59693
281,2023-06,261.5984,262.5116
282,2023-07,258.34096,268.43058
283,2023-08,259.08888,273.38222
284,2023-09,261.28197,252.67017
285,2023-10,251.8751,245.09475
286,2023-11,252.5016,230.4828
287,2023-12,260.56787,238.89748
288,2024-01,253.48103,235.77013
289,2024-02,265.74882,260.39578
290,2024-03,251.37945,282.90119
291,2024-04,257.72908,266.84483
292,2024-05,262.36701,278.69606
293,2024-06,255.00497,255.05985
294,2024-07,259.58264,268.73979
295,2024-08,263.61049,279.5662400000001
296,2024-09,256.46734,248.02332
297,2024-10,266.34215,259.34891
298,2024-11,270.00608,247.0648
299,2024-12,268.91519,247.29891
300,2025-01,257.1118,238.72963
301,2025-02,255.4658,250.34675
302,2025-03,272.75771,306.66549
303,2025-04,264.55082,272.72848
304,2025-05,259.1399,275.48478
305,2025-06,257.50375,257.20217
306,2025-07,262.23858,271.63302
307,2025-08,260.95272,277.94956
