month,date,low_yoy,moderate_yoy,middle_yoy,high_yoy
135,2011-04,.2018590597152514,.1564432013901195,.1397371562954957,.1214937149438878
136,2011-05,.1392495488269507,.1579488383110689,.1147071308881018,.0860404638172712
137,2011-06,.1526916802610115,.151640983930887,.0758024831471623,.0464233753113821
138,2011-07,.1813145502750195,.0597363062717967,.0444158622762254,.0362738905039279
139,2011-08,.1389914789871343,.1327062765809652,.1157564457613277,.0890834497362941
140,2011-09,.128835246009761,.1403195441234951,.1250837536242472,.1030653561119647
141,2011-10,.0786179971676098,.1309457922420882,.1113626992774074,.1146967020293085
142,2011-11,.2264077558017265,.1779865422143258,.1076440914796375,.1284619228557154
143,2011-12,.2380016011910619,.1344522482614632,.1300612840206603,.1183395333280124
144,2012-01,.1215438936188395,.1408992679369876,.1195840852172342,.075161165456831
145,2012-02,.2099384426935728,.2423220179874638,.1506906036496994,.1185978283717861
146,2012-03,.2121313049185467,.1615193400397093,.1120342466830621,.0679419263741952
147,2012-04,.130446361989986,.1077789805156469,.1154885668617326,.0823207270256935
148,2012-05,.244986414089744,.181797537296206,.1653958215440818,.1746157078075421
149,2012-06,.2942541749221624,.1610958726304792,.1436966606705708,.134649437664513
150,2012-07,.2365033106667101,.197159385992114,.1460824985843692,.1328436128655859
151,2012-08,.2535445586521137,.1859456550193958,.1480495835242971,.1235742793990324
152,2012-09,.224125641235379,.1239813826610606,.0842211120570523,.0569458132885765
153,2012-10,.2716906589702033,.111811557624356,.0994589724829714,.0668027048887533
154,2012-11,.1985998872392409,.1201042530505849,.1048346288110632,.0864964766079183
155,2012-12,.0701141340110271,.1446963928712493,.0429792718944204,.0413661596666654
156,2013-01,.251983497302443,.1537186212657174,.1095045260517267,.1306958241660554
157,2013-02,.0818655250220919,.0390329196038853,.0226882053429593,.0398498926358133
158,2013-03,.1727925132134013,.0785474678196323,.036114110406088,.0623036257106928
159,2013-04,.1516091033312916,.1703039237961166,.0965431364839964,.1126399125994981
160,2013-05,.1196663515149358,.1349508334180299,.1073332901458606,.1011896318863281
161,2013-06,.0674364694047156,.1059543967515498,.0829733389308367,.0956386222604582
162,2013-07,.1326350009030159,.15946925154934,.1279340817033985,.1405197453263296
163,2013-08,.0933666956896626,.1430419373163072,.0898522423221541,.1102105589975395
164,2013-09,.0751357904483703,.0826678870086715,.0694584884414783,.1040301528646844
165,2013-10,.0979908845688773,.1180363492690634,.0675270879375336,.0757473942517671
166,2013-11,.1386068754654853,.0893214733962294,.0681366913993103,.0700824834548622
167,2013-12,.1019274400458005,.0585005726806427,.0513582524687541,.0742033938088031
168,2014-01,.078945500633714,.0571428049063642,.0437126745693072,.0502591300902238
169,2014-02,.0454166964052059,.0863703045677339,.0433429757309493,.0368146903560658
170,2014-03,.0208587435139439,.108654776794504,.0849165812240427,.0905782133413979
171,2014-04,.0556041995695681,.0524355940788452,.0449895000920656,.0215639824614275
172,2014-05,.0714353357113552,.058637924424283,.0542241030297815,.041277984058802
173,2014-06,.084680062938438,.0432068210500031,.0364356664848544,.0351605098881253
174,2014-07,.0797429601046011,.0302650297264188,.0346140709772254,.0227241075301406
175,2014-08,.0498368666017225,.0606827911247962,.0320986525319092,.0372774357435817
176,2014-09,.1829917960009951,.1359781533225159,.0964982829341632,.0850457110243741
177,2014-10,.1120759032572327,.0859260085898117,.080085799065605,.0647738835136249
178,2014-11,.0225238406720137,.0464626293977428,.0304118487596949,.0131813072936279
179,2014-12,.1591363916256154,.1338108511814443,.0948616991015235,.0614787666245716
180,2015-01,.0899719014011709,.1329896336675781,.0738934026382894,.0569012819313179
181,2015-02,.1255973783623869,.0911573616191802,.0418514444984976,.0058713354865315
182,2015-03,.1026284881130782,.0866243169450165,.0483558226693467,.030264016433059
183,2015-04,.1214049830229926,.1181790063953637,.0382490422366656,.0254900964824543
184,2015-05,.0651994578987687,.1025825390804154,.0211324979926776,.0150911396550417
185,2015-06,.0945699887425673,.1651933292296466,.1035468218518654,.0763642472515006
186,2015-07,.103787934726428,.1465259791655852,.0777793294090752,.0492584802955286
187,2015-08,.1658614899696589,.0754712416844387,.0705919352852072,.0394120407975938
188,2015-09,.084067608339963,.0958904300492351,.0639305231680803,.0520753253142357
189,2015-10,.0845781755856021,.1116480950471077,.0595245426607447,.0438269742399427
190,2015-11,.0749379234880682,.0901741380083539,.0600255076024607,.0484445951294388
191,2015-12,.073026992928052,.0526615293420272,.0399398321318735,.0243478483229934
192,2016-01,.0590766047333711,.0427451668790981,.0133654917906667,.0073242353501139
193,2016-02,.1489388946173078,.1343517916254917,.1374703444526699,.1317413795936536
194,2016-03,.0713927150290787,.0371930220351939,.0121239032820295,-.0117751025776802
195,2016-04,.0648421460123461,.0227400995042151,.0294183079433768,.0209041510478743
196,2016-05,.006043424146038,.0107169444001567,.0030582010429335,.0078240029106006
197,2016-06,.0242072421552524,-.0002519131951148,-.0194271388016243,-.0136572080106082
198,2016-07,-.0096062507525792,-.0147513708309448,-.0352862697123464,-.0320079812703135
199,2016-08,-.0325690101699195,.0286148251099201,.0151146467648211,.0050476858570919
200,2016-09,-.0558990300403635,.0314111424927225,.0021347434880833,-.0101311506633233
201,2016-10,-.0723988256612674,-.0284241773705644,-.0152232696492878,-.0024122881844233
202,2016-11,-.0210480157860111,.052724600842005,.0218758345677331,.0401966501551249
203,2016-12,.0275616133174496,.0739847058293539,.0563667431338085,.0476649331505163
204,2017-01,-.0071965287331993,.0073164519160672,.0243402641551204,.0212750548610666
205,2017-02,-.2149657150566331,-.1212562836280231,-.0744379167596234,-.0453723203107622
