month,date,younger-than-30_yoy,30-44_yoy,45-64_yoy,65-and-older_yoy
84,2007-01,.051939180089831,-.0137729538486135,-.009961025403678,.0222948416455418
85,2007-02,.0782103428239393,.0148367137503029,.0555518922497109,.1022647156483254
86,2007-03,.0709792506599394,-.0186897198009465,.0223382853179803,-.0143317843802941
87,2007-04,.024842146322436,.0029038595677155,.0193377781571176,.0447722325870642
88,2007-05,.027571433139008,.0060362229195056,.0530546937773415,.1393330461927832
89,2007-06,-.0024926644446344,-.0540934195043863,.0094351530888964,-.0055189128617675
90,2007-07,-.0130507773245849,-.0556525655329123,-.014804555714867,.062692438655084
91,2007-08,.0136150996924655,-.0544389373098134,-.009133535730044,.0189981522297243
92,2007-09,-.0482054446766436,-.0461195747140547,.0069986843767422,.0592802528290346
93,2007-10,.0099965326930549,.0046347111529455,.0556141775549598,.1652363061103413
94,2007-11,-.0322857146788149,-.0206931421453871,.0041701768082977,.0609217388911055
95,2007-12,-.068813822481438,-.0344203446826392,.0053497552554344,.0599478673430169
96,2008-01,-.0915730586194022,-.0616275502377661,.031573302809295,.0710380647942277
97,2008-02,-.0839199995793879,-.0176174131985023,.0261502652508054,.0525514372725248
98,2008-03,-.1405112255984452,-.0755574319389825,-.0174696528884016,.0661883216162954
99,2008-04,-.0895793530164432,-.0636354266842739,.0374372285647165,.1481255510623186
100,2008-05,-.1474778275620455,-.0914648863390464,-.0268705532012978,-.0068046782999672
101,2008-06,-.1589403264268675,-.0982007841777787,-.0588857298724925,.0314180323356147
102,2008-07,-.1733973318511614,-.158027843954196,-.1025014901782177,-.0618095299776051
103,2008-08,-.2546919052281708,-.2088099857263108,-.1309649534992992,-.1042847838755011
104,2008-09,-.2608716620092648,-.2074762324131323,-.1435926659680405,-.0865369068608957
105,2008-10,-.3222273129117812,-.326369572124205,-.2843304803933296,-.2370129013037066
106,2008-11,-.3673042281515643,-.3526249955076197,-.2820828813635968,-.2125932843887547
107,2008-12,-.2990716423379953,-.3133410009255075,-.2452146182294904,-.1662088823427948
108,2009-01,-.3409029356746516,-.311218461949998,-.2360660572102611,-.1281380002869029
109,2009-02,-.3784173900566752,-.3529900886941638,-.2931153347458953,-.1308508678043983
110,2009-03,-.3337878598961666,-.349461787151055,-.2839171386632112,-.1447461698071058
111,2009-04,-.354425975661913,-.3554635410232756,-.2993895984606373,-.1994847949710811
112,2009-05,-.347569720900116,-.3510403029111669,-.2749456346032757,-.1332668638295866
113,2009-06,-.3151995676305844,-.2889291344975637,-.2038297751180692,.0117040015657528
114,2009-07,-.2758946000113031,-.2214442152093829,-.0892651395754234,.0370336729206937
115,2009-08,-.1760858002008751,-.0829578221101126,.1315176234043634,.3146337449819558
116,2009-09,-.2376872691419606,-.2159510065732217,-.1757554213219447,-.0782104069823799
117,2009-10,-.1648139050426341,-.075542390174412,-.0005428188604877,.0660195038528266
118,2009-11,-.0892607149036771,.0140100928996302,.05788040893961,.1500771499014349
119,2009-12,-.0455177191255025,.0075025327546355,.0594472084381256,.2170271230856555
120,2010-01,-.084000267570034,.0119274455308825,-.0309867540786251,.0549956809674631
121,2010-02,.0156897777531546,.0473133041893974,.0292507739661067,-.0001263007853201
122,2010-03,.1198651683603584,.242349452491428,.2457326294463608,.2018462516700661
123,2010-04,.1101622344731216,.1886236115530569,.2164853022434522,.266495581883903
124,2010-05,.1218380230768114,.1667929251342171,.1365524919550754,.1846926323480254
125,2010-06,.1454013168904522,.1685417215240593,.1216279536782914,.1029144859024139
126,2010-07,.1761108242574152,.1726222036056189,.0671387356885977,.117293617677251
127,2010-08,.0980662012526961,.0362829733378999,-.1301052978776175,-.06911909828454
128,2010-09,.3009417431639823,.2764637804326038,.2816748480218422,.3669402217396276
129,2010-10,.2420954474154597,.2634775818311956,.2499825581083307,.3042619484782734
130,2010-11,.2707105300168527,.2532348047633403,.2662152245954242,.3052223983499167
131,2010-12,.2230798549378415,.2420146894475577,.2444827060795352,.2101968852294683
132,2011-01,.2211120413331561,.2104990325314613,.2447826463700477,.2905576349899495
133,2011-02,.3113959032656159,.2941089504134654,.2929359336440439,.3440913089572104
134,2011-03,.1907516814558924,.1463046574628319,.1098630915359395,.1423721661139816
135,2011-04,.1695931567909212,.1924000417580101,.1060249001045881,.0621945801865828
136,2011-05,.1127242572776261,.1481046476459309,.0944246171534095,.0955556721930996
137,2011-06,.1027911456792611,.1010276755508537,.066201597791999,.0413632986034708
138,2011-07,.0611684749315947,.0689943664063716,.0404819784057219,-.0122260965544922
139,2011-08,.1167672942413171,.1366667553029831,.0950976827160954,.0784541824197339
140,2011-09,.139363646332102,.1460848978579094,.0970756733357688,.0835061407968321
141,2011-10,.0908032959307479,.1279304650939994,.1069145990133649,.1599691430440319
142,2011-11,.162544052970359,.1437151715981365,.1089589817455054,.1101579904232716
143,2011-12,.1080386116092346,.1545985601159196,.1100078277343394,.1545595666439749
144,2012-01,.1475266979923116,.1180880541363507,.0749073354186621,.1424629576169342
145,2012-02,.1736212926280614,.1766797538442781,.1097171596111347,.2429532318804584
146,2012-03,.1433656489222087,.1098664960137207,.07671536341296,.1638538938662996
147,2012-04,.1072457443597186,.0955668321165856,.0929432731053019,.1721804488655013
148,2012-05,.1748911598386035,.159853530674698,.158169164171174,.2852617174750797
149,2012-06,.1312107140695774,.1459663777271446,.1453320707119105,.189144741879075
150,2012-07,.167456411687265,.1323275820375253,.1381560838459005,.2750524588186365
151,2012-08,.1606689776474457,.118680659469747,.1415202172245685,.2738012045223227
152,2012-09,.0598071657601333,.0760176260728763,.0957670628382237,.134464780167371
153,2012-10,.1429167606207361,.0748776012865902,.0746442795370931,.1697226759669866
154,2012-11,.0809215053547928,.0929923393742001,.0979868994410048,.2285318879022017
155,2012-12,.0632149936257891,.0140953226802968,.0712321816597481,.1593399051659601
156,2013-01,.1125705415506484,.1117885158239961,.1345258780923098,.1784205299375331
157,2013-02,.0359844066094713,.0198240255668604,.0381742348907537,.0702089797285071
158,2013-03,.0618490195463897,.0626510555503926,.0444588518999956,.1027101670345909
159,2013-04,.1233770178466918,.0903716363233558,.1114310969374484,.2226617347711465
160,2013-05,.1110503645500013,.0792839746011459,.1197903871855211,.1850152014630682
161,2013-06,.0956950736188245,.0749873168048776,.0908896151976768,.1582765680732436
162,2013-07,.125063182647297,.1211765391111883,.1284434303883568,.2628587362723545
163,2013-08,.0993315857261124,.0804518465962128,.1154083777638833,.1804790435518976
164,2013-09,.0898394637389646,.0610333007225505,.0696464892267264,.2401479139399903
165,2013-10,.0872036184171777,.0630343668567867,.0702225372772324,.178315696256259
166,2013-11,.1193219658047017,.0590037759007181,.068395473489183,.0925837018997381
167,2013-12,.1090069313329188,.0540693040431251,.0427066930079749,.1184136175525642
168,2014-01,.0748084911326249,.0523965220718082,.0326987899468398,.0840510040741427
169,2014-02,.1081546055397893,.0339744398350782,.0410280054071761,.0508701236112971
170,2014-03,.099201849642738,.0545400460250065,.094240238599704,.1555103522492707
171,2014-04,.0467551412322068,.0276687700640302,.0339212154026186,.0892726677247873
172,2014-05,.0770572700443882,.049755571284167,.0450248301690924,.0455696451390939
173,2014-06,.0493780566017319,.0194472439752503,.0297527285045882,.1057891776152679
174,2014-07,.0345501159809546,.0324905746371674,.0241263325791107,.0393765365287223
175,2014-08,.0555173302500876,.0415084010117022,.0223598483413172,.0609207925565252
176,2014-09,.1281784574534561,.0911081245293958,.0898638221712576,.1006740271366134
177,2014-10,.080704747975407,.0663820257407675,.0794091361313927,.0694763149936852
178,2014-11,.0249176543997265,.0338362355175843,.0246608611415249,.0133984681853885
179,2014-12,.0844169013762654,.0896768870151349,.0757478005092863,.1104668647523731
180,2015-01,.0785670926268933,.0682185194005423,.0875541434742843,.0610429278525035
181,2015-02,.0664087320472616,.0615391225818128,.0037876372361532,.0594044429077705
182,2015-03,.0554087407165406,.0541431052720941,.0325692792929558,.0751056326900875
183,2015-04,.0940661489630598,.0353370738120829,.0365560467126833,.0504897482451174
184,2015-05,.0695704015016469,.0284684453514511,.0220709102329377,.032478484625697
185,2015-06,.1234475681711853,.0984610636558068,.0916007378072595,.1335486154118378
186,2015-07,.1151463299504352,.0699132842887983,.0691703152806429,.0968676261940343
187,2015-08,.0574672219098536,.0534950090262289,.0699434561411745,.0823658998086031
188,2015-09,.053457675647264,.0540799856333179,.06671408602209,.1163356270881006
189,2015-10,.071390978103141,.0572693299915606,.0577089992220235,.0927851769920702
190,2015-11,.0575403132391214,.0327825332134419,.0637119722182647,.1585710894389294
191,2015-12,.0439940942574424,.0306663321330809,.0429295834638897,.0383633763757683
192,2016-01,.0334109246450303,.007424709116834,.0199191301007371,.0221193281828514
193,2016-02,.0941649137365389,.1094517186421437,.1660020552688601,.1861748540993828
194,2016-03,.0327037117917816,.0043719624524114,.0071354677120764,.0144842587213321
195,2016-04,.0042912078609946,.0282343617754797,.0410929324323545,.0295064161134905
196,2016-05,-.0170562725648204,-.011708125907185,.0160687862166063,.0770457947703708
197,2016-06,.0112226736962291,-.0314104196808611,-.0247389506487612,.0358439024390246
198,2016-07,-.0363808566364182,-.0332931619129787,-.020812802841158,-.036650509361495
199,2016-08,.0090400686346164,.0003200358843386,.0116255375684025,.0523055272871384
200,2016-09,-.0199729145171413,.0014089867386254,.0057444773668048,.0124354478118337
201,2016-10,-.0393422106820589,-.0246733379081148,-.0022621239861352,.0172199920092844
202,2016-11,.0383184997631038,.0153165526411797,.0330953020268656,.0618404738656723
203,2016-12,.0336990200135238,.0550798949062878,.0530689820484368,.1080629377778988
204,2017-01,-.016042474574046,.0051030821020695,.0206386988384707,.1049478282999654
205,2017-02,-.1401981350568085,-.1195531789030386,-.0374362351814155,.0141410474425354
206,2017-03,-.0014042752379473,.0116273476103897,.0250629154378679,.0799210538425744
207,2017-04,-.0486896410947995,-.0512535303005581,-.0445656227061282,-.0074155789533719
208,2017-05,.0129931233352938,.0243694948727287,.0141883711228763,.0584655601547499
209,2017-06,-.0572107912808998,-.0187719544371085,.0198781526176815,.0035584811895391
210,2017-07,-.040217615715421,-.0373371558666044,-.0092264952661758,.0724511245263238
211,2017-08,-.0709892774480006,-.0792811573027339,-.0574984628570367,.003384777914843
212,2017-09,-.0056038039097855,-.0494996593965725,-.0402510276726523,.0105965684614507
213,2017-10,-.0053923550066469,-.014737317991288,-.0212366208992275,.0599164704364072
214,2017-11,-.0193439494039806,.0095313540566165,-.0013534759309691,.0226993478466339
215,2017-12,-.0600969518267564,-.0656302679961497,-.0351536271680568,.0011053406595887
216,2018-01,.0024155172144634,-.0028598969472392,.0125984801169244,.0401051813322332
217,2018-02,.0139722068727667,.0266599873023016,-.0263896785044729,-.0163422643663647
218,2018-03,-.0031599506578942,.0222601017259769,.0076463663673797,-.005553793198142
219,2018-04,.0186883329013746,.0102517566899632,.0026371885124608,.0521675898411901
220,2018-05,.0144648322449705,.0214170651092645,.000214122686484,.0217832695671618
221,2018-06,.0447275604899304,.047920259759455,-.0104312009493684,-.0141442064040538
222,2018-07,.0248554304819132,.019986241477565,.0039554916590128,.0220457284413497
223,2018-08,.0625296598104484,.0546436425446929,.0344050287314106,.0262075546719681
224,2018-09,-.0216770421670565,.0179675811283743,-.0164321807077001,-.0501183279114246
225,2018-10,.0253342130615147,.0605598756520413,.0352191791346818,.0202242472154386
