month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
96,2008-01,-.0865581103822499,-.0623786399819248,-.0646695705619841,-.0273860656901046,.0313933994193193
97,2008-02,-.0958122642721633,-.0793101141905131,-.0762083787036501,.0252873118446003,.06310215881835
98,2008-03,-.2014778411893183,-.1913344022265247,-.1145609401152515,-.0527478141223902,.0569254957842289
99,2008-04,-.189983393243783,-.1257894841989007,-.0848247792578682,-.0095801784508188,.1013770631059901
100,2008-05,-.2397596195147094,-.2079176264941199,-.1479283946133478,-.0641229193341871,.0495163280153099
101,2008-06,-.2483034571062744,-.2216714662429803,-.1752759105451954,-.0758770824774641,.033598916802652
102,2008-07,-.2849493933359338,-.229952801013803,-.1956369982547992,-.1123480635750569,-.0534335911476766
103,2008-08,-.3606557699146686,-.2946593502857914,-.2470721735043253,-.1857030565404168,-.0727991101498676
104,2008-09,-.3445465857551197,-.3093405712093148,-.2816502354276087,-.1824412564276206,-.0742691580591252
105,2008-10,-.4314410117094381,-.4201717237042488,-.375856233909606,-.2986925998665733,-.2133628397556387
106,2008-11,-.4787639156345071,-.4392754846934553,-.3903002026508796,-.332645738145793,-.2014760383824848
107,2008-12,-.4400354579686102,-.3849771611010944,-.3597208385249079,-.2859531546066542,-.1695670700945795
108,2009-01,-.4475651338160065,-.4364835180185999,-.3764385952609144,-.2783092481997591,-.1256542576836152
109,2009-02,-.4310532552292864,-.4451041319257544,-.4014978373670229,-.3529363094399983,-.2028465839914669
110,2009-03,-.4088150757604169,-.4335157041540019,-.3869907378847832,-.3170221074093713,-.2168726429055065
111,2009-04,-.4104086595230617,-.4461627360338475,-.4131228135682117,-.3421272570187743,-.245009002234289
112,2009-05,-.4383593657707258,-.4356839883272351,-.3876551574063899,-.3212588866832838,-.2240006628912335
113,2009-06,-.3769641868585783,-.3834510523835007,-.3267558307270687,-.2619087910434934,-.1334408919746256
114,2009-07,-.3505458032581669,-.3512156985938514,-.2790168445136989,-.2184969005927331,-.0171979998156866
115,2009-08,-.2609496004917032,-.1934646522696674,-.1546502425225479,-.0139166749295709,.1733484993527287
116,2009-09,-.3255114920193828,-.2976958105646629,-.2447553108979818,-.1823231279495613,-.1325823326156282
117,2009-10,-.1929394280081924,-.1745059237747676,-.1515412584658453,-.0731223751760994,.0405054118607169
118,2009-11,-.1282916741357376,-.0687922237445076,-.0949829791851713,.0545742347928043,.0894996335150479
119,2009-12,-.0647940887336096,-.0427008384372956,-.0305467870825161,.0163181168614925,.0900694202787432
120,2010-01,-.046085066379681,.0005763545882161,-.0199393530435952,-.0338861479914358,-.007453288281232
121,2010-02,.087024555088248,.0418940390257254,.0057341874494686,.0482919366127666,.0007875342518829
