month,date,tightness_index,unadjusted_credit_tightness_index
60,2005-01,85.82494000000001,84.16391
61,2005-02,86.09891,84.99045000000001
62,2005-03,88.78320000000001,87.89448
63,2005-04,87.21416000000001,87.12500000000001
64,2005-05,85.42443,85.73577
65,2005-06,83.56621000000001,84.96256000000001
66,2005-07,85.04772000000001,87.09085
67,2005-08,87.86834,88.97904000000001
68,2005-09,89.53945,89.41588
69,2005-10,92.69314000000001,92.86846000000001
70,2005-11,93.78444,93.24475000000001
71,2005-12,94.29592000000001,93.47547
72,2006-01,93.46679,91.64120000000001
73,2006-02,94.52884,93.25044000000001
74,2006-03,94.91061000000001,93.97934000000001
75,2006-04,94.16244,94.06898000000001
76,2006-05,94.37526000000001,94.89715000000001
77,2006-06,92.84704000000001,94.43777000000001
78,2006-07,93.29242000000001,95.53074000000001
79,2006-08,94.00862000000001,95.21448000000001
80,2006-09,94.48693,94.24966000000001
81,2006-10,94.95493,94.96402
82,2006-11,95.34896000000001,94.66156000000001
83,2006-12,95.97917000000001,95.24312
84,2007-01,97.83137000000001,96.01383000000001
85,2007-02,98.50005,97.13746
86,2007-03,97.71022000000001,96.79049000000001
87,2007-04,97.32923000000001,97.31400000000001
88,2007-05,98.46161000000001,99.36208000000001
89,2007-06,100.70221,102.351
90,2007-07,102.06719,104.39177
91,2007-08,102.55724,103.89533
92,2007-09,103.4654,102.98418
93,2007-10,102.17166,101.75941
94,2007-11,101.41431,100.56576
95,2007-12,100.47676,99.91387
96,2008-01,95.49784000000001,93.95051000000001
97,2008-02,100.33038,99.09871000000001
98,2008-03,101.85847,101.032
99,2008-04,103.72525,103.91828
100,2008-05,104.56716,105.73598
101,2008-06,106.11712,107.5862
102,2008-07,105.90902,107.98446
103,2008-08,108.3953,109.70487
104,2008-09,105.49325,104.73395
105,2008-10,111.0554,110.23725
106,2008-11,105.18179,104.39855
107,2008-12,89.77366000000001,89.58169000000001
108,2009-01,90.94292,89.67488
109,2009-02,98.03316000000001,96.96376000000001
110,2009-03,94.07872,93.51595
111,2009-04,94.22973,94.76069000000001
112,2009-05,98.20150000000001,99.29238000000001
113,2009-06,103.35861,104.33425
114,2009-07,100.70656,102.14115
115,2009-08,100.9653,102.09446
116,2009-09,100.12107,99.25939000000001
117,2009-10,100.34355,99.38247000000001
118,2009-11,99.27287000000001,98.83741000000001
119,2009-12,101.69361,101.8035
120,2010-01,101.22281,100
121,2010-02,99.52952000000001,98.64468000000001
122,2010-03,98.48471000000001,98.1127
123,2010-04,100.07261,100.90954
124,2010-05,98.25639000000001,98.98998
125,2010-06,95.28219000000001,95.75683000000001
126,2010-07,90.74364000000001,91.52622000000001
127,2010-08,90.56675000000001,91.52876000000001
128,2010-09,93.79355000000001,93.04293000000001
129,2010-10,95.30567000000001,94.50663
130,2010-11,99.05561,99.01407
131,2010-12,101.9041,102.37563
132,2011-01,101.08725,99.90019000000001
133,2011-02,102.21333,101.30219
134,2011-03,100.99719,100.71713
135,2011-04,100.95376,101.91128
136,2011-05,98.99445000000001,99.28133000000001
137,2011-06,98.70829000000001,98.81096000000001
138,2011-07,99.07585,99.47946
139,2011-08,91.08577000000001,92.14977
140,2011-09,92.72981,92.2578
141,2011-10,95.34665000000001,94.76181000000001
142,2011-11,94.75331000000001,95.18036000000001
143,2011-12,92.87061000000001,93.47238
144,2012-01,91.81134,90.64586000000001
145,2012-02,91.83089000000001,90.95373000000001
146,2012-03,92.91768,92.57557000000001
147,2012-04,92.40307000000001,93.01629000000001
148,2012-05,90.70729,90.55386000000001
149,2012-06,89.84379000000001,89.86728000000001
150,2012-07,89.36397000000001,89.59592000000001
151,2012-08,90.45833,91.60009000000001
152,2012-09,90.34065000000001,90.30113
153,2012-10,88.76064000000001,88.55948000000001
154,2012-11,88.19595000000001,88.92933000000001
155,2012-12,88.37427000000001,89.00079000000001
