month,date,num,num_unadj
72,2006-01,965743.3888979694,830652.5252525249
73,2006-02,981373.0097006251,883135.3535353524
74,2006-03,981591.2098598033,1123155.050505046
75,2006-04,889665.5888437199,977541.919191918
76,2006-05,968443.6088621474,1104203.030303027
77,2006-06,1012289.480177324,1127007.070707067
78,2006-07,999890.7046959967,991449.9999999977
79,2006-08,1107185.066503244,1103745.454545451
80,2006-09,1128494.114210227,987030.3030303014
81,2006-10,1081862.874729705,1039688.383838381
82,2006-11,1006954.214517096,957034.343434342
83,2006-12,997119.5736576995,974464.6464646452
84,2007-01,986452.5114388448,851570.7070707065
85,2007-02,904635.1642298604,810312.6262626264
86,2007-03,832600.1999587292,948757.0707070685
87,2007-04,825969.2335432891,905016.1616161611
88,2007-05,850612.002420453,957124.7474747463
89,2007-06,829671.1502036498,920291.4141414127
90,2007-07,830557.8473665229,816841.4141414138
91,2007-08,805387.5514970561,805128.787878788
92,2007-09,696408.9818822935,617822.7272727271
93,2007-10,707342.3827574318,687778.2828282829
94,2007-11,666379.3797526811,645610.6060606062
95,2007-12,629733.6942779698,628250.505050505
96,2008-01,662618.5781084155,576330.3030303029
97,2008-02,901866.4125717263,795962.1212121213
98,2008-03,682683.5290793669,763800.5050505049
99,2008-04,685315.8459577567,743063.6363636366
100,2008-05,613895.0431999587,671332.8282828281
101,2008-06,561376.1941868759,616322.7272727272
102,2008-07,574306.1435089725,560749.4949494951
103,2008-08,501900.5347514063,503690.9090909091
104,2008-09,526785.2857025872,480531.3131313132
105,2008-10,513427.678518259,511489.3939393939
106,2008-11,348334.6635716961,348490.9090909091
107,2008-12,476890.6502671167,487688.3838383837
108,2009-01,783587.3418710782,684190.4040404039
109,2009-02,942145.653556144,819192.9292929287
110,2009-03,809680.7591582832,882356.0606060595
111,2009-04,863934.0123726127,915818.6868686853
112,2009-05,913749.5186244723,960918.6868686849
113,2009-06,895000.7602662488,967395.4545454519
114,2009-07,826737.1213540689,803865.6565656563
115,2009-08,626093.7236037372,635521.7171717176
116,2009-09,636501.5513095043,603669.6969696971
117,2009-10,639965.5046521453,657694.4444444446
118,2009-11,637015.473096994,656139.8989898985
119,2009-12,627398.6692167385,654193.9393939393
120,2010-01,551822.9879047447,484235.8585858587
121,2010-02,508516.5616939281,435977.7777777778
122,2010-03,543055.6405489979,569888.3838383839
123,2010-04,556936.7616236119,572014.6464646467
124,2010-05,526439.752103599,536854.0404040405
125,2010-06,605339.145601928,646461.1111111112
126,2010-07,604892.8857795737,593835.3535353533
127,2010-08,720694.165347234,745523.2323232329
128,2010-09,818909.3229602553,800540.9090909091
129,2010-10,786665.387963128,829775.2525252526
130,2010-11,809009.181863933,846829.7979797974
131,2010-12,776669.3797936186,818028.2828282826
132,2011-01,681789.1500040911,596412.1212121213
133,2011-02,554066.9821581217,469260.1010101009
134,2011-03,502325.2321790841,509928.2828282827
135,2011-04,465995.5927340777,465113.1313131312
136,2011-05,456827.5863400022,458206.0606060608
137,2011-06,493599.4642156499,524953.0303030303
138,2011-07,511727.5614564754,512731.3131313134
139,2011-08,559416.6089546158,591736.3636363634
140,2011-09,666089.5940296313,668841.414141414
141,2011-10,682336.6824020654,729160.1010101008
142,2011-11,692450.7043473532,718923.2323232326
143,2011-12,668483.213553492,700887.3737373737
144,2012-01,702361.6607785471,610464.1414141413
145,2012-02,835550.8480473704,701310.1010101013
146,2012-03,785452.1992046084,774417.6767676766
147,2012-04,734363.2447044372,720811.1111111114
148,2012-05,760823.859005247,766661.6161616163
149,2012-06,745593.2681566736,800001.0101010096
150,2012-07,790518.69951982,818616.6666666659
