fips_code,state_abbr,value
1,AL,.0317151553236096
2,AK,.4208476776025267
4,AZ,.3179523477025938
5,AR,.3367214169740572
6,CA,.0659530072543023
8,CO,.0085642794090711
9,CT,.0750512906469858
10,DE,.3446475670433962
11,DC,-.3971435168206006
12,FL,.0081186949777538
13,GA,.0441142413970316
15,HI,.2942649957332206
16,ID,.3697896921957342
17,IL,.1067391641741455
18,IN,-.0551215538121957
19,IA,.0112176489838739
20,KS,-.2827358325864318
21,KY,.1285065645387314
22,LA,-.1412838857478337
23,ME,.4856008812041779
24,MD,.2264885441213531
25,MA,.0020399923640652
26,MI,.0642797974580506
27,MN,.3917947682983076
28,MS,.3568420744930696
29,MO,.1573145759990555
30,MT,.3637064660244374
31,NE,.3365372525808226
32,NV,-.1907105823789507
33,NH,.3591488648081295
34,NJ,.0114770418832496
35,NM,.3263593703736666
36,NY,.1781323989078787
37,NC,-.020745003140937
38,ND,-.2217130568364514
39,OH,-.0579514422965242
40,OK,.0079426145688124
41,OR,.0333235781892895
42,PA,-.080255206798056
44,RI,.2955356150781694
45,SC,.0316789613181093
46,SD,.2583074552463402
47,TN,.0711657899442584
48,TX,-.1331986791016837
49,UT,.0346321272961532
50,VT,-.1531758713470596
51,VA,.206460297767088
53,WA,.0780853036764486
54,WV,-.1490480149487134
55,WI,-.0271186368686652
56,WY,.5358400257012343
