month,date,low_yoy,moderate_yoy,middle_yoy,high_yoy
135,2011-04,-.2942019979924475,-.2187028356770061,-.2065165298939946,-.1549623232931318
136,2011-05,-.2504290841004833,-.178561688078662,-.1765285533292662,-.1078168432457389
137,2011-06,-.3171463063203398,-.2631118829484975,-.196637461791508,-.1528700786119726
138,2011-07,-.0690207780725019,-.0160701464949667,-.1324473141265161,-.1692760514355468
139,2011-08,-.0224865805890029,-.1114948797188387,-.1929062222332354,-.2425514498734639
140,2011-09,.0082049007650514,-.1318254335855082,-.164515436169534,-.1755128263848569
141,2011-10,-.1049343550197662,-.1266147434325915,-.1285239212745303,-.1150017916634377
142,2011-11,.0259253392470568,-.1055680072527642,-.157324981028291,-.15973638204597
143,2011-12,-.0118426452482843,-.1190886144693571,-.1432362379659344,-.1510592302243676
144,2012-01,.0056989607777402,-.0210148057006431,-.01460681506028,.0620999017930959
145,2012-02,.1721288317558972,.3130559399090735,.4539974921323127,.5860874910357551
146,2012-03,.2436809815950925,.3195869364453032,.4512897285152416,.6477740625693854
147,2012-04,.3192469185967763,.3720077269362025,.5064908112250184,.6547828436670932
148,2012-05,.5099916736053286,.4699478379393807,.6364220997533445,.7868508149807141
149,2012-06,.1820929569432567,.4261322645290579,.4883026203841463,.6054974174138261
150,2012-07,.4037514097465417,.3704491468848483,.5845893229521701,.6820115590096427
151,2012-08,.2949440981497981,.5130221949426745,.5590773421172086,.6715849612576229
152,2012-09,.3030902892334768,.307122321349181,.2547434509547152,.1879698457907371
153,2012-10,.3844811603686144,.4297641410978913,.326284852694778,.257211877146737
154,2012-11,.1562017498713324,.2760157107863846,.2715421536795525,.1941683197235873
155,2012-12,.3705132008306141,.3410348741085329,.2881335370407576,.275043814746048
156,2013-01,.4803333333333331,.4404964043148221,.4633155600787623,.3740877424764646
157,2013-02,.1887918047604696,.2788528847239468,.133006704679807,.0931818149195977
158,2013-03,.2056037884767161,.1891319285387077,.0996596091858704,.078712455856907
159,2013-04,.2039014373716631,.2512435959460639,.2198594837848245,.181331266913984
160,2013-05,.287060012866464,.2423069836005159,.1626712697883655,.1462636098522938
161,2013-06,.3969992280972592,.1118486875386436,.0744437081333978,.0383694129945303
162,2013-07,.0207196921645737,.0890203008881642,.036185253457689,-.071057055527254
163,2013-08,-.110330073349634,-.1209050979370851,-.1818941398387158,-.3558724843062084
164,2013-09,-.1426280698793148,-.2013956599623589,-.289408435283553,-.4167906283689256
165,2013-10,-.2937376920047268,-.3150465643090858,-.4027025912433849,-.5263163621249806
166,2013-11,-.3389272201201867,-.336505204627071,-.4437938763802391,-.5480823400945442
167,2013-12,-.3287445887445886,-.3513859430995396,-.4339940549767497,-.5507193616360123
168,2014-01,-.3918036478270656,-.4564475029901713,-.5377832610628298,-.6280442446583427
169,2014-02,-.3402777777777771,-.4533436922461185,-.5357293226627216,-.6265922092859888
170,2014-03,-.5222995090016365,-.4100736745798624,-.4688344740979042,-.5636967410797107
171,2014-04,-.3221047245437486,-.3894355410369158,-.4617580883822077,-.5171636848924132
172,2014-05,-.4253632760898281,-.3617716576874864,-.4155434266391506,-.4995638281069656
173,2014-06,-.3088717753910974,-.2878281574650298,-.3535047892222062,-.4302434450932502
174,2014-07,-.1792949169393931,-.2574586497451369,-.3130690021541552,-.3588015453670521
175,2014-08,-.2728443833734114,-.2217708855567207,-.2516200802259945,-.2504608580155843
176,2014-09,-.1175312530760907,-.070359249558126,-.0381636744531798,-.0604302016651563
177,2014-10,.0666406424269464,-.0290079814207809,-.0197719698782986,.0123852663107897
178,2014-11,.0499629654568717,-.0235618852833828,.0482322292519541,.0499648586393881
179,2014-12,.0829356378176194,.0731803574448888,.1440898514175772,.2260327397104678
180,2015-01,.0514624213254348,.1010407032985722,.1089456743601827,.205398788611034
181,2015-02,.2053784095274683,.2639807058722196,.5097835596366815,.7521159546674073
182,2015-03,.6679229122055673,.4756709202876868,.5472590820100073,.8137073982419279
183,2015-04,.4315008177129179,.378579373391464,.3839070998563558,.4719634803022116
184,2015-05,.2412550481515999,.3049306175079285,.2776644444661345,.420834000980836
185,2015-06,.1540498675860704,.3033419935545242,.3272751514928592,.391814548217553
186,2015-07,.1933774165867455,.2270718193344128,.2175261885576151,.1944048886665221
187,2015-08,.1648753986063542,.2068872116602371,.147685422376816,.1379083319012753
188,2015-09,.000669269380926,.2553201236971714,.1668337283483388,.1775806555773893
189,2015-10,.1163799864066508,.188012322224661,.1471145515633482,.1122160508952961
190,2015-11,-.0824087731674473,.0094427178679382,-.0394066808005594,.0209364991339568
191,2015-12,.1176750833730351,.161206799504673,.0473779533105939,-.0205538821368794
192,2016-01,.1575352112676058,.0886691897736926,.0686453226672321,-.0115980333196168
193,2016-02,.1019887812340638,.0367474189921287,-.0811226532871649,-.2234571394740699
194,2016-03,-.0026703640938742,-.00606001007953,-.0578205557477402,-.1197933191315775
195,2016-04,-.1138940152913254,-.0442223544030947,.0104709090661712,-.0103629233309865
196,2016-05,.0447992792071278,.0384911470361814,.0724686397041971,.0370912098258298
197,2016-06,.0346380325597502,.067660819031954,.0479952197031366,.056170574287874
198,2016-07,-.1612807715083331,.0317106029295913,.0191178471234071,.0689865668008072
199,2016-08,.2186961370779683,.2712147129114039,.3441091393167787,.4611231186233251
200,2016-09,.1547207669156172,.1736768793756806,.2468046501172153,.3497393089238229
201,2016-10,.0785838055542539,.2001159538478203,.2485698086869664,.3984133233511555
202,2016-11,.3164663125524186,.5043440120114051,.5126813363781545,.4939208380892217
203,2016-12,.1142369991474846,.1512683793827756,.2391160019613554,.2815650514172324
204,2017-01,-.002737725862384,.208637814827953,.1131082834193607,.1030452152146004
205,2017-02,-.1098449791763067,.0763454112234004,-.0274602592728357,-.0639461408246854
206,2017-03,.0670408320889759,-.0368414543655703,-.0585710555198862,-.1767871728399449
207,2017-04,-.0880194386591296,-.038960638848495,-.11659100527065,-.2526187528251091
208,2017-05,.1471278685383029,-.0361517099454543,-.0445527980396629,-.1411951757999146
209,2017-06,.0266153331101439,-.014104983931031,-.0823592213273923,-.184790238397085
210,2017-07,.1097382621413085,-.0765327859328408,-.0806795817015168,-.170413612591748
211,2017-08,.0783277870216297,-.0894572348801144,-.1593001937617934,-.2959863190407217
212,2017-09,.0811854426102916,-.1277182362818468,-.1704814001558303,-.3036853660624758
213,2017-10,.0025617645781781,-.0659715770641669,-.1229248461103418,-.2634468834972982
214,2017-11,.0869080484179224,-.1084689311787209,-.1655220679219722,-.2759717065451036
215,2017-12,-.0068859984697779,-.0909504294616298,-.160841230152894,-.2577219143097562
216,2018-01,.1415934602244998,-.0662650602409633,-.0473407262664035,-.1445835309146153
217,2018-02,.0391838326077061,-.0343277201874775,-.0468976933356881,-.0007454609709782
218,2018-03,.0954012449934857,-.0147275972316739,-.0586716498220996,-.0426515852524818
219,2018-04,.0941764993746949,.0632497483474271,-.0114469492584623,.0173575668329677
220,2018-05,.0472769796191111,.0190035068386222,-.077059856332872,-.083024616157915
