month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
96,2008-01,-.5562158246080068,-.5034492774671409,-.4448933158960209,-.3861311781104756,-.1811398333014392
97,2008-02,-.4704532052902028,-.3816656052752498,-.3713202621639644,-.2028549282722502,.3266417134710273
98,2008-03,-.455749163712617,-.3612634540310721,-.4180494954429831,-.3444923705419839,.0003641798071177
99,2008-04,-.4510777914166731,-.3559191957090843,-.3557726229365492,-.3209547020312382,-.0075136896722255
100,2008-05,-.5107834362925938,-.4710387262470999,-.4157525687309078,-.4121941009043652,-.1616673008998975
101,2008-06,-.5565365706832548,-.4509838299635791,-.4150987846508469,-.4244965238842791,-.2200705000616487
102,2008-07,-.5849388796648134,-.4304838911349143,-.4033570802171706,-.3890742869962711,-.2039748780565561
103,2008-08,-.5018665511485975,-.4551808237628088,-.4129448970010886,-.4392711856810289,-.3132951080694412
104,2008-09,-.3551803239103817,-.264113066051341,-.2405722911334247,-.2832804415315625,-.1718219509010191
105,2008-10,-.4809796546418191,-.4230140830952737,-.354813650992051,-.3056589081569533,-.1598233904555444
106,2008-11,-.5589547165431364,-.4284741144414171,-.4790768450418466,-.5153775030633434,-.4240201289956767
107,2008-12,-.4570696283639467,-.3278039118593715,-.3102340236522125,-.3335258239223656,-.121917137303519
108,2009-01,-.4665630162277726,-.280900848201229,-.2237417501734689,-.1970630679085061,.5559787662551605
109,2009-02,-.4712069994034602,-.3635486604523823,-.2470752806920668,-.2928984644831204,.2412297273581309
110,2009-03,-.4426464112725673,-.3308176723124711,-.1680610236220471,-.1385602176147933,.4020690757418023
111,2009-04,-.4951827624401766,-.3023883916750511,-.1655631493979844,-.0814485085724146,.5004591149353662
112,2009-05,-.4739307944582025,-.2621457489878548,-.1957474303368785,.0363359816763291,.8102543512840331
113,2009-06,-.3648315736551035,-.2346058934533323,-.0690886115937454,.1962574576119276,.9666940969394306
114,2009-07,-.3431593642611683,-.3112467433623137,-.0836808336705115,.1856990840236204,.7730778904333863
115,2009-08,-.5231347673734563,-.3225763346027924,-.177225312629072,.1311281942779203,.5431151511202328
116,2009-09,-.483951211683518,-.2763118699339949,-.1521855609520025,.112644806691791,.5469859571322999
117,2009-10,-.4325400093332238,-.1499748102079461,.0337488570833682,.1343809351542004,.4935546635348566
118,2009-11,-.3030941012820025,-.0273519378570539,.2865397427356132,.6913458808928065,1.306319368464419
119,2009-12,-.3250778230082452,-.2214917127071818,-.0757443126364618,.1741477695119632,.563943992902375
120,2010-01,-.6125400757796556,-.4817172374522087,-.3852574029996566,-.2149687012061943,-.2810225944093366
121,2010-02,-.5307787763697213,-.5156803703476113,-.4169616490329141,-.3003969200737447,-.5037560028677364
122,2010-03,-.4798538415958917,-.3643506877680815,-.3035997007498651,-.2132535255638115,-.3877041478295077
123,2010-04,-.2879735044504247,-.3498443786533059,-.2738918103485017,-.2249939778668897,-.4221702626914854
124,2010-05,-.4857930449533499,-.2772907099262432,-.2309333185583293,-.2984739599341096,-.4965890677821241
125,2010-06,-.3099695254680015,-.1703079957517816,-.1674443464096644,-.2228027884552743,-.3803011490458105
126,2010-07,-.5347829641134633,-.4151135856514436,-.4321747515071779,-.31474827106833,-.2172993035753651
127,2010-08,-.3516949152542366,-.3410346187986982,-.2059897891611313,-.1217629502772524,.3346963336230591
128,2010-09,-.3688384388120037,-.3852553131566977,-.2694283617385635,-.0171423380713044,.5688429893158616
129,2010-10,-.4346942724458203,-.4667279787451459,-.3586272123021956,-.0903702109169778,.5160493769203492
130,2010-11,-.3003722285159409,-.406224250491222,-.3188902277502816,-.074082747853239,.5287793482774367
131,2010-12,-.3500253421186003,-.2962410995197887,-.2057718895263394,-.0458530919507099,.4154025332820667
132,2011-01,-.232722143864598,-.2180890720031387,-.0504184630991632,.07988919467846,.3160897613510908
133,2011-02,-.2033178393973393,-.1429538149213335,-.1623647798742135,-.022880031746819,.1416279089255937
134,2011-03,-.1413834567432438,-.1476396847095773,-.1629774901941192,-.135907968870716,-.0897480981956783
135,2011-04,-.3873481016338156,-.2457236265981677,-.2523974411643871,-.2248443627787066,-.1607047244764507
136,2011-05,-.1391340206185567,-.279619288641928,-.2555383451604767,-.1501946904397402,-.1256419250736633
137,2011-06,-.315514769142529,-.2609719301453789,-.2850359199062518,-.211225396506052,-.1621886744378634
138,2011-07,-.1527850992795641,-.0342259201395207,.0432464172922191,-.0899570630290085,-.1625691165775894
139,2011-08,.0074460163812361,.1712254443405051,.0104923325262308,-.0673652623756982,-.2584882280049562
140,2011-09,-.0082943253674962,.128770792218776,-.0295652416564349,-.1172129091317179,-.1908951524620989
141,2011-10,.0420160876262193,.0642317863028401,-.105148896079958,-.0669757698729545,-.1379193690478581
142,2011-11,-.2366412213740457,-.0665741531454595,-.035909057679655,-.1717013742517495,-.1565304609679139
143,2011-12,-.1547878976918278,.0347563025210097,-.0568691146839915,-.0478644291186334,-.1676794146665647
144,2012-01,.1823529411764704,.1670597681537613,.1296939266064841,.019842749272451,.0138432065888325
145,2012-02,.2501760386279046,.3627615475720511,.3336336697100746,.2964666912035335,.5651229230222642
146,2012-03,.1432888626815067,.2033782630950358,.2565552852687032,.2921068986948411,.6296697147110044
147,2012-04,-.0272373540856031,.2138157894736851,.2654179488789795,.3964985523654513,.6480257052166922
148,2012-05,.2577122054033338,.3526424316480825,.4226222157707133,.4683430650169143,.7898420136242175
149,2012-06,.0746606334841629,.1398966935758255,.3052748599689292,.3783217935160916,.6177834239235623
